"name","dimension","resolution","aspect_ratio","ppi","hz","cpu","gpu","ram","os","price_min","price_max","url"
"Lenovo IdeaPad Slim 5 16AKP10","16""","1920x1200","16:10","142ppi","60Hz","AMD Ryzen AI 5 330, 1C+3c/8T, 2.00-4.50GHz, 8MiB+4MiB Cache, 28W TDP, 15W cTDP, Codename ""Krackan Point"" (Zen 5 + Zen 5c, TSMC 4nm)","AMD Radeon 820M (iGPU), 2CU/128SP, 2 RT-Cores, 2.80GHz, Architektur ""RDNA 3.5""","16GB DDR5-5600 (2x 8GB Module, 2 Slots gesamt, 0 Slots frei, max. 32GB)","Windows 11 Home","€ 685,70","","https://geizhals.at/lenovo-ideapad-slim-5-16akp10-83hy008sge-a3692605.html"
"Lenovo Yoga 7 2-in-1 16ILL10","16""","2880x1800","16:10","212ppi","120Hz","Intel Core Ultra 7 258V, 4P+4LPE/8T, 2.20-4.80GHz, 12MiB+14MiB Cache, 17-37W TDP (PBP/MTP), Codename ""Lunar Lake"" (Lion Cove + Skymont, TSMC N3B)","Intel Arc Graphics 140V (iGPU), 8Xe/64EU/1024SP, 1.95GHz, Architektur ""Xe2-LPG""","32GB LPDDR5X-8533 Onboard, nicht erweiterbar","Windows 11 Home","€ 1606,63","","https://geizhals.at/lenovo-yoga-7-2-in-1-16ill10-83jt002cge-a3692546.html"
"Lenovo ThinkPad T16 G4 (Intel)","16""","1920x1200","16:10","142ppi","60Hz","Intel Core Ultra 7 255U, 2P+8E+2LPE/14T, 2.00-5.20GHz, 12MiB+10MiB Cache, 15-57W TDP (PBP/MTP), Codename ""Arrow Lake-U"" (Redwood Cove + Crestmont + Crestmont, Intel 3)","Intel Graphics (iGPU), 4Xe/64EU/512SP, 2.10GHz, Architektur ""Xe-LPG+""","32GB DDR5-5600 (2x 16GB SO-DIMM-Module, 2 Slots gesamt, 0 Slots frei, max. 64GB)","Windows 11 Pro","€ 2013,84","€ 2529,00","https://geizhals.at/lenovo-thinkpad-t16-g4-intel-21qe0057ge-a3528879.html"
"ASUS VivoBook 17 X1704VA","17.3""","1920x1080","16:9","127ppi","60Hz","Intel Core 7 150U, 2P+8E/12T, 1.80-5.40GHz, 12MiB+12MiB Cache, 15-55W TDP (PBP/MTP), Codename ""Raptor Lake-U"" (Golden Cove + Gracemont, Intel 7)","Intel Graphics (iGPU), 96EU/1536SP, 1.30GHz, Architektur ""Xe-LP / Gen 12.2""","16GB gesamt, 8GB DDR5 Onboard + 8GB DDR5 (1x 8GB SO-DIMM-Modul, 1 Slot gesamt, 0 Slots frei, max. 16GB), max. 24GB gesamt","Windows 11 Home","€ 799,00","€ 890,00","https://geizhals.at/asus-vivobook-17-x1704va-90nb13x1-m00vj0-a3694548.html"
"Dell Pro 15 Essential PV15250","15.6""","1920x1080","16:9","141ppi","120Hz","Intel Core i5-1334U, 2P+8E/12T, 1.30-4.60GHz, 12MiB+12MiB Cache, 15-55W TDP (PBP/MTP), Codename ""Raptor Lake-U"" (Golden Cove + Gracemont, Intel 7)","Intel UHD Graphics [Single-Channel-Konfiguration], Intel Iris Xe Graphics [Dual-Channel-Konfiguration] (iGPU)","16GB DDR5-5200 (1x 16GB SO-DIMM-Modul)","Windows 11 Home","€ 754,38","","https://geizhals.at/dell-pro-15-essential-pv15250-4vd04-a3686080.html"
"HP OmniBook X FlipNGAI 16-as0252ng","16""","1920x1200","16:10","142ppi","60Hz","Intel Core Ultra 7 256V, 4P+4LPE/8T, 2.20-4.80GHz, 12MiB+14MiB Cache, 17-37W TDP (PBP/MTP), Codename ""Lunar Lake"" (Lion Cove + Skymont, TSMC N3B)","Intel Arc Graphics 140V (iGPU), 8Xe/64EU/1024SP, 1.95GHz, Architektur ""Xe2-LPG""","16GB LPDDR5X-8533 Onboard, nicht erweiterbar","Windows 11 Home","€ 949,99","","https://geizhals.at/hp-omnibook-x-flipngai-16-as0252ng-bn5r2ea-abd-a3566423.html"
"HP ProBook 4 G1i 14","14""","1920x1200","16:10","162ppi","60Hz","Intel Core Ultra 7 255U, 2P+8E+2LPE/14T, 2.00-5.20GHz, 12MiB+10MiB Cache, 15-57W TDP (PBP/MTP), Codename ""Arrow Lake-U"" (Redwood Cove + Crestmont + Crestmont, Intel 3)","Intel Graphics (iGPU), 4Xe/64EU/512SP, 2.10GHz, Architektur ""Xe-LPG+""","16GB DDR5-5600 (2x 8GB SO-DIMM-Module, 2 Slots gesamt, 0 Slots frei, max. 48GB)","Windows 11 Pro","€ 1379,00","","https://geizhals.at/hp-probook-4-g1i-14-cb4m4ea-abd-a3686046.html"
"Lenovo ThinkPad P16 G2","16""","2560x1600","16:10","189ppi","165Hz","Intel Core i9-13980HX, 8P+16E/32T, 2.20-5.60GHz, 36MiB+32MiB Cache, 55-157W TDP (PBP/MTP), Codename ""Raptor Lake-HX"" (Raptor Cove + Gracemont, Intel 7)","NVIDIA RTX 2000 Ada Generation - 8GB GDDR6 - Mobile, 24SM/3072SP, Codename ""AD107"" (Ada Lovelace, TSMC N5P [NVIDIA 4N]), 60W Max GPU Power","32GB DDR5-5600 (2x 16GB SO-DIMM-Module, 4 Slots gesamt, 2 Slots frei, max. 192GB)","Windows 11 Pro","€ 3348,29","","https://geizhals.at/lenovo-thinkpad-p16-g2-21fa000aix-a3679179.html"
"Lenovo ThinkPad P14s G6 (AMD)","14""","1920x1200","16:10","162ppi","60Hz","AMD Ryzen AI 7 PRO 350, 4C+4c/16T, 2.00-5.00GHz, 16MiB+8MiB Cache, 28W TDP, 15-54W cTDP, Codename ""Krackan Point"" (Zen 5 + Zen 5c, TSMC 4nm)","AMD Radeon 860M (iGPU), 8CU/512SP, 8 RT-Cores, 3.00GHz, Architektur ""RDNA 3.5""","32GB DDR5-5600 (2x 16GB Module, 2 Slots gesamt, 0 Slots frei, max. 96GB)","Windows 11 Pro","€ 3052,21","","https://geizhals.at/lenovo-thinkpad-p14s-g6-amd-21ql005kge-a3561746.html"
"Apple MacBook Pro 14.2""","14.2""","3024x1964","3:2","254ppi","120Hz","Apple M5 Max - 18 Core, 6x Everest Gen4 ""Super"" (4.61GHz) + 12x Everest Gen4 M ""Performance"" (4.38GHz), TSMC N3P, ARMv9.2-A","Apple 32-Core GPU, Architektur ""G18"", 32C/​512EU/​4096SP","36GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 3728,98","€ 4814,00","https://geizhals.at/apple-macbook-pro-14-2-mgdq4d-a-a3750387.html"
